Status ,Message Execution ,DateTime Initial Execution ,Time Final Execution 
'OK', 'Process have been done with success.', '14/03/2022: 09:57:03', '12:52:15'
'OK', 'Process have been done with success.', '14/03/2022: 12:56:15', '12:56:56'
'OK', 'Process have been done with success.', '14/03/2022: 13:04:33', '13:05:30'
'NOK', '[Internal System Error]: Error in the process 4: Downloading', '14/03/2022: 13:16:51', '13:17:38'
'NOK', '[Internal System Error]: Error in the process 4: Downloading', '14/03/2022: 13:19:17', '13:20:04'
'NOK', '[Internal System Error]: Error in the process 4: Downloading', '14/03/2022: 13:37:25', '13:38:09'
'NOK', '[Internal System Error]: Error in the process 4: Downloading', '14/03/2022: 13:40:12', '13:40:59'
'OK', 'Process have been done with success.', '14/03/2022: 13:42:39', '13:43:24'
'OK', 'Process have been done with success.', '14/03/2022: 13:44:57', '13:45:50'
