Status ,Message Execution ,DateTime Initial Execution ,Time Final Execution 
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 14:02:19', '14:02:38'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 14:04:41', '14:05:00'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 14:56:01', '14:56:26'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 15:38:06', '15:38:21'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 15:40:23', '15:40:41'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 15:42:56', '15:43:21'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 15:47:11', '15:47:27'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 15:50:06', '15:50:24'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 16:23:18', '16:23:34'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 16:48:24', '16:48:40'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 17:02:53', '17:03:11'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 17:10:18', '17:10:35'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '11/03/2022: 17:19:57', '17:20:11'
