Status ,Message Execution ,DateTime Initial Execution ,Time Final Execution 
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:20:39', '14:20:45'
'OK', 'Process have been done with success.', '09/03/2022: 14:25:11', '14:25:23'
'OK', 'Process have been done with success.', '09/03/2022: 14:29:35', '14:29:49'
'OK', 'Process have been done with success.', '09/03/2022: 14:30:54', '14:31:07'
'OK', 'Process have been done with success.', '09/03/2022: 14:31:47', '14:31:59'
'OK', 'Process have been done with success.', '09/03/2022: 14:32:34', '14:32:43'
'OK', 'Process have been done with success.', '09/03/2022: 14:35:12', '14:35:22'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:48:31', '14:48:31'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:49:51', '14:49:51'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:51:53', '14:51:53'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:52:39', '14:52:39'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:53:21', '14:53:22'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:54:58', '14:54:58'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:55:21', '14:55:21'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:56:14', '14:56:14'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:57:09', '14:57:09'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 14:59:24', '14:59:24'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 15:02:20', '15:02:20'
'OK', 'Process have been done with success.', '09/03/2022: 15:02:55', '15:03:07'
'NOK', '[Internal System Error]: Error in the process 1: Starting browser.', '09/03/2022: 15:03:42', '15:03:42'
'OK', 'Process have been done with success.', '09/03/2022: 15:04:00', '15:04:09'
'OK', 'Process have been done with success.', '09/03/2022: 15:08:05', '15:08:16'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 15:18:51', '15:19:02'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 15:23:32', '15:23:44'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 15:25:22', '15:25:31'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 15:26:12', '15:26:24'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 15:34:33', '15:34:46'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 15:36:28', '15:36:40'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 15:37:34', '15:37:50'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 15:38:14', '15:38:28'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 15:57:33', '15:57:49'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 15:59:01', '15:59:17'
'OK', 'Process have been done with success.', '09/03/2022: 16:11:51', '16:12:16'
'NOK', '[Internal System Error]: Error in Process 2: Logging to the web application.', '09/03/2022: 16:12:56', '16:13:07'
'OK', 'Process have been done with success.', '09/03/2022: 16:14:05', '16:14:49'
'OK', 'Process have been done with success.', '09/03/2022: 16:21:58', '16:37:45'
'OK', 'Process have been done with success.', '09/03/2022: 16:45:52', '17:09:51'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '09/03/2022: 17:19:45', '17:20:00'
'NOK', '[Internal System Error]: Error in the process 3: filtering series list on webpage.', '09/03/2022: 17:38:23', '17:38:37'
